InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalAmount
94478,5757,Mug,2,2020-01-13 15:46:52.537512504,63.55,1081,Canada,127.1
28431,2967,Notebook,1,2020-01-14 03:27:54.558186062,93.93,1010,Canada,93.93
12747,5088,T-shirt,8,2020-01-14 15:08:56.578859619,96.14,1085,UK,769.12
69150,5178,Pen,8,2020-01-15 02:49:58.599533177,24.77,1043,Germany,198.16
75725,8789,T-shirt,9,2020-01-15 14:31:00.620206735,34.56,1081,USA,311.04
94654,3946,Pen,6,2020-01-16 02:12:02.640880293,78.15,1063,Germany,468.90000000000003
45773,6394,T-shirt,1,2020-01-16 13:53:04.661553851,87.34,1033,Germany,87.34
77435,8880,Notebook,9,2020-01-17 01:34:06.682227409,54.33,1086,UK,488.96999999999997
66886,6075,Notebook,3,2020-01-17 13:15:08.702900967,99.36,1064,Germany,298.08
76803,8230,T-shirt,6,2020-01-18 00:56:10.723574524,6.1,1054,India,36.599999999999994
41551,2531,Mug,9,2020-01-18 12:37:12.744248082,33.46,1073,Canada,301.14
21394,3990,Notebook,3,2020-01-19 00:18:14.764921640,64.2,1000,Canada,192.60000000000002
79092,8155,Pen,5,2020-01-19 11:59:16.785595198,49.58,1037,UK,247.89999999999998
13890,5493,Pen,5,2020-01-19 23:40:18.806268756,16.08,1008,Canada,80.39999999999999
51606,1933,Bag,7,2020-01-20 11:21:20.826942314,39.94,1094,India,279.58
90038,2460,Pen,4,2020-01-20 23:02:22.847615872,7.42,1070,UK,29.68
97313,3723,Bag,4,2020-01-21 10:43:24.868289429,66.06,1016,USA,264.24
20627,1285,T-shirt,7,2020-01-21 22:24:26.888962987,89.81,1098,Canada,628.6700000000001
18792,1264,T-shirt,9,2020-01-22 10:05:28.909636545,89.06,1051,Germany,801.54
83969,7816,T-shirt,4,2020-01-22 21:46:30.930310103,71.46,1017,India,285.84
53001,2762,Mug,4,2020-01-23 09:27:32.950983661,49.25,1062,India,197.0
86552,1040,Mug,6,2020-01-23 21:08:34.971657219,53.64,1032,Canada,321.84000000000003
33897,6827,Bag,6,2020-01-24 08:49:36.992330777,18.01,1003,USA,108.06
78148,9259,Pen,7,2020-01-24 20:30:39.013004334,37.4,1086,Germany,261.8
33483,1987,Pen,1,2020-01-25 08:11:41.033677892,22.83,1074,USA,22.83
58555,8804,T-shirt,3,2020-01-25 19:52:43.054351450,83.01,1051,USA,249.03000000000003
27159,8789,Notebook,9,2020-01-26 07:33:45.075025008,91.9,1008,Canada,827.1
90077,6717,Mug,6,2020-01-26 19:14:47.095698566,56.01,1063,Germany,336.06
45920,4198,Mug,6,2020-01-27 06:55:49.116372124,74.14,1029,Canada,444.84000000000003
77121,6374,T-shirt,5,2020-01-27 18:36:51.137045682,16.54,1007,Canada,82.69999999999999
79479,5790,Mug,3,2020-01-28 06:17:53.157719239,62.81,1004,India,188.43
99475,8183,T-shirt,5,2020-01-28 17:58:55.178392797,71.77,1075,Canada,358.84999999999997
29457,3524,Bag,1,2020-01-29 05:39:57.199066355,48.01,1062,UK,48.01
76557,3479,Pen,3,2020-01-29 17:20:59.219739913,28.11,1000,Germany,84.33
87189,6154,Notebook,4,2020-01-30 05:02:01.240413471,88.35,1014,India,353.4
88953,1778,Pen,5,2020-01-30 16:43:03.261087029,75.58,1088,Germany,377.9
62995,2492,Pen,9,2020-01-31 04:24:05.281760587,90.49,1081,India,814.41
50757,1660,Bag,4,2020-01-31 16:05:07.302434144,82.75,1037,UK,331.0
19692,2348,Mug,3,2020-02-01 03:46:09.323107702,99.09,1041,Canada,297.27
55758,8851,Notebook,1,2020-02-01 15:27:11.343781260,23.26,1045,India,23.26
82409,8156,Mug,6,2020-02-02 03:08:13.364454818,13.24,1052,India,79.44
81211,3044,Pen,7,2020-02-02 14:49:15.385128376,37.02,1025,India,259.14000000000004
75697,8368,T-shirt,8,2020-02-03 02:30:17.405801934,17.26,1060,UK,138.08
47065,4516,Pen,1,2020-02-03 14:11:19.426475492,54.7,1066,Germany,54.7
42606,5577,Mug,4,2020-02-04 01:52:21.447149049,65.14,1053,UK,260.56
21534,1727,Pen,5,2020-02-04 13:33:23.467822607,59.94,1021,India,299.7
50397,8468,T-shirt,2,2020-02-05 01:14:25.488496165,29.63,1025,India,59.26
11016,1342,Bag,1,2020-02-05 12:55:27.509169723,91.34,1082,Canada,91.34
99789,2447,Mug,8,2020-02-06 00:36:29.529843281,7.01,1059,UK,56.08
65591,7581,Pen,6,2020-02-06 12:17:31.550516839,38.06,1038,UK,228.36
99812,7317,Mug,5,2020-02-06 23:58:33.571190396,73.3,1035,USA,366.5
33247,1526,Bag,9,2020-02-07 11:39:35.591863954,77.86,1020,Germany,700.74
34300,7748,Pen,2,2020-02-07 23:20:37.612537512,44.53,1040,USA,89.06
84065,1405,Pen,8,2020-02-08 11:01:39.633211070,6.61,1047,USA,52.88
92798,8986,Mug,9,2020-02-08 22:42:41.653884628,63.71,1025,Germany,573.39
19268,4740,Mug,1,2020-02-09 10:23:43.674558186,10.99,1062,Canada,10.99
96807,2846,T-shirt,7,2020-02-09 22:04:45.695231744,15.25,1076,Canada,106.75
22185,2478,Bag,8,2020-02-10 09:45:47.715905301,66.77,1035,Germany,534.16
73704,1771,T-shirt,3,2020-02-10 21:26:49.736578859,34.69,1023,Germany,104.07
96779,6525,Pen,4,2020-02-11 09:07:51.757252417,38.06,1089,UK,152.24
49099,9770,Mug,3,2020-02-11 20:48:53.777925975,51.25,1020,UK,153.75
18571,1193,Pen,7,2020-02-12 08:29:55.798599533,97.96,1017,UK,685.7199999999999
48044,3007,Pen,9,2020-02-12 20:10:57.819273091,96.72,1014,UK,870.48
61214,2185,Notebook,3,2020-02-13 07:51:59.839946649,44.54,1078,India,133.62
71228,3394,Notebook,6,2020-02-13 19:33:01.860620206,30.22,1005,India,181.32
58984,5005,Pen,8,2020-02-14 07:14:03.881293764,33.75,1042,Canada,270.0
50774,8429,Mug,6,2020-02-14 18:55:05.901967322,30.53,1030,India,183.18
12568,3261,Pen,2,2020-02-15 06:36:07.922640880,55.56,1027,India,111.12
72592,4736,Notebook,7,2020-02-15 18:17:09.943314438,62.65,1007,UK,438.55
77563,7716,Mug,2,2020-02-16 05:58:11.963987996,51.43,1028,UK,102.86
12695,5875,Pen,2,2020-02-16 17:39:13.984661554,43.76,1020,Germany,87.52
58190,9921,Bag,2,2020-02-17 05:20:16.005335111,25.07,1080,UK,50.14
15258,5378,Bag,1,2020-02-17 17:01:18.026008669,50.84,1087,Germany,50.84
97538,8815,Pen,1,2020-02-18 04:42:20.046682227,37.4,1057,Germany,37.4
49504,4451,Mug,7,2020-02-18 16:23:22.067355785,56.45,1059,India,395.15000000000003
43159,8616,Pen,5,2020-02-19 04:04:24.088029343,69.14,1049,UK,345.7
23986,3800,Pen,3,2020-02-19 15:45:26.108702901,65.16,1099,India,195.48
71858,9333,Notebook,1,2020-02-20 03:26:28.129376458,48.94,1030,UK,48.94
22666,6410,Bag,6,2020-02-20 15:07:30.150050016,57.82,1046,India,346.92
48660,2455,Notebook,1,2020-02-21 02:48:32.170723574,32.06,1033,India,32.06
13561,7892,Notebook,9,2020-02-21 14:29:34.191397132,7.3,1001,India,65.7
36854,6808,Pen,2,2020-02-22 02:10:36.212070690,64.38,1066,Canada,128.76
74505,7796,Notebook,1,2020-02-22 13:51:38.232744248,28.99,1093,India,28.99
62251,5796,Bag,7,2020-02-23 01:32:40.253417806,68.55,1071,USA,479.84999999999997
32662,6093,Notebook,6,2020-02-23 13:13:42.274091364,75.97,1051,USA,455.82
18392,2325,Bag,6,2020-02-24 00:54:44.294764922,92.01,1006,USA,552.0600000000001
40535,5976,Notebook,5,2020-02-24 12:35:46.315438479,96.02,1075,Germany,480.09999999999997
88603,2159,Bag,4,2020-02-25 00:16:48.336112037,6.0,1018,India,24.0
62256,5650,Notebook,4,2020-02-25 11:57:50.356785595,99.09,1089,USA,396.36
99135,5987,Notebook,3,2020-02-25 23:38:52.377459153,69.89,1091,Germany,209.67000000000002
45222,5697,Mug,8,2020-02-26 11:19:54.398132711,66.13,1014,USA,529.04
87373,1340,Bag,7,2020-02-26 23:00:56.418806269,6.45,1077,UK,45.15
89575,4828,Bag,9,2020-02-27 10:41:58.439479826,86.82,1047,Canada,781.3799999999999
94651,2968,Bag,1,2020-02-27 22:23:00.460153384,18.82,1013,India,18.82
73335,1703,T-shirt,7,2020-02-28 10:04:02.480826942,84.55,1002,Canada,591.85
20965,6482,Notebook,4,2020-02-28 21:45:04.501500500,6.48,1049,Canada,25.92
34538,7376,Bag,7,2020-02-29 09:26:06.522174058,66.37,1092,UK,464.59000000000003
80592,2800,T-shirt,1,2020-02-29 21:07:08.542847616,46.31,1053,UK,46.31
18110,6463,Mug,5,2020-03-01 08:48:10.563521174,24.07,1005,UK,120.35
89309,5912,Bag,3,2020-03-01 20:29:12.584194731,15.22,1048,Germany,45.660000000000004
37266,5648,Bag,5,2020-03-02 08:10:14.604868289,46.81,1022,USA,234.05
62992,1855,T-shirt,4,2020-03-02 19:51:16.625541847,16.71,1091,India,66.84
92948,3866,Notebook,2,2020-03-03 07:32:18.646215405,51.21,1077,UK,102.42
16910,1182,Mug,4,2020-03-03 19:13:20.666888963,64.4,1077,India,257.6
10206,4112,Bag,3,2020-03-04 06:54:22.687562521,83.6,1019,India,250.79999999999998
97054,6670,Notebook,1,2020-03-04 18:35:24.708236079,69.47,1076,India,69.47
97897,5492,Mug,8,2020-03-05 06:16:26.728909636,11.19,1090,UK,89.52
33419,6823,Pen,5,2020-03-05 17:57:28.749583194,34.21,1059,UK,171.05
60636,2517,Pen,4,2020-03-06 05:38:30.770256752,32.36,1098,USA,129.44
60015,6002,Mug,5,2020-03-06 17:19:32.790930310,91.93,1044,UK,459.65000000000003
64268,2356,T-shirt,4,2020-03-07 05:00:34.811603868,87.44,1060,UK,349.76
97939,4629,Mug,3,2020-03-07 16:41:36.832277426,40.16,1055,India,120.47999999999999
28141,4628,Mug,5,2020-03-08 04:22:38.852950984,11.76,1001,USA,58.8
90356,9210,T-shirt,4,2020-03-08 16:03:40.873624541,89.94,1044,Canada,359.76
81910,7132,T-shirt,1,2020-03-09 03:44:42.894298099,89.38,1039,UK,89.38
66044,7588,Notebook,3,2020-03-09 15:25:44.914971657,86.2,1023,UK,258.6
77214,4311,Notebook,8,2020-03-10 03:06:46.935645215,85.28,1028,Canada,682.24
43827,7048,T-shirt,7,2020-03-10 14:47:48.956318773,50.62,1066,India,354.34
65820,7246,Pen,2,2020-03-11 02:28:50.976992331,21.86,1067,USA,43.72
72623,1987,Pen,1,2020-03-11 14:09:52.997665888,50.36,1065,India,50.36
91734,4321,Mug,3,2020-03-12 01:50:55.018339446,51.99,1083,Germany,155.97
85450,5615,Bag,5,2020-03-12 13:31:57.039013004,51.54,1053,UK,257.7
32299,9365,Mug,1,2020-03-13 01:12:59.059686562,56.18,1052,Germany,56.18
53585,4741,Mug,3,2020-03-13 12:54:01.080360120,29.48,1078,UK,88.44
74044,4052,Bag,3,2020-03-14 00:35:03.101033678,39.79,1048,Germany,119.37
52557,7574,T-shirt,5,2020-03-14 12:16:05.121707236,46.25,1031,Canada,231.25
59080,1726,Pen,3,2020-03-14 23:57:07.142380793,17.46,1060,UK,52.38
12693,4760,Mug,9,2020-03-15 11:38:09.163054351,48.26,1041,UK,434.34
79163,6806,Bag,1,2020-03-15 23:19:11.183727909,81.99,1000,Germany,81.99
35939,2875,Notebook,4,2020-03-16 11:00:13.204401467,83.67,1062,USA,334.68
58925,7993,Mug,4,2020-03-16 22:41:15.225075025,44.1,1034,Germany,176.4
52941,5033,Pen,1,2020-03-17 10:22:17.245748583,54.29,1050,UK,54.29
31834,6443,T-shirt,2,2020-03-17 22:03:19.266422141,8.2,1070,UK,16.4
28047,1989,Mug,1,2020-03-18 09:44:21.287095698,69.07,1044,USA,69.07
36105,4744,Mug,6,2020-03-18 21:25:23.307769256,43.44,1076,India,260.64
85766,9611,Bag,3,2020-03-19 09:06:25.328442814,47.32,1064,USA,141.96
25707,1593,Notebook,7,2020-03-19 20:47:27.349116372,88.0,1013,India,616.0
31976,2774,Notebook,5,2020-03-20 08:28:29.369789930,48.87,1092,UK,244.35
54262,1935,T-shirt,9,2020-03-20 20:09:31.390463488,7.01,1002,Canada,63.089999999999996
33776,4808,Pen,7,2020-03-21 07:50:33.411137046,26.61,1023,Canada,186.26999999999998
40080,1331,T-shirt,4,2020-03-21 19:31:35.431810603,50.18,1064,Germany,200.72
76842,8922,Mug,5,2020-03-22 07:12:37.452484161,45.32,1047,USA,226.6
71373,3702,Mug,5,2020-03-22 18:53:39.473157719,86.74,1009,USA,433.7
16776,6889,Notebook,5,2020-03-23 06:34:41.493831277,56.5,1012,Canada,282.5
65016,6054,Pen,9,2020-03-23 18:15:43.514504835,70.52,1099,India,634.68
19474,4868,Bag,3,2020-03-24 05:56:45.535178393,49.59,1072,USA,148.77
68053,5200,Pen,6,2020-03-24 17:37:47.555851950,46.77,1013,India,280.62
31959,1201,Mug,8,2020-03-25 05:18:49.576525508,47.4,1099,India,379.2
15530,3497,Bag,9,2020-03-25 16:59:51.597199066,44.04,1009,India,396.36
13748,2842,Pen,7,2020-03-26 04:40:53.617872624,56.17,1039,India,393.19
23545,5658,Pen,3,2020-03-26 16:21:55.638546182,28.79,1022,Germany,86.37
76199,8544,Bag,1,2020-03-27 04:02:57.659219740,89.65,1098,Germany,89.65
44766,8718,Mug,4,2020-03-27 15:43:59.679893298,36.64,1054,Canada,146.56
83530,1770,Pen,6,2020-03-28 03:25:01.700566855,19.01,1062,Germany,114.06
71087,4155,Bag,3,2020-03-28 15:06:03.721240413,14.17,1070,USA,42.51
78840,2628,Mug,1,2020-03-29 02:47:05.741913971,6.28,1041,Germany,6.28
64384,1386,Bag,6,2020-03-29 14:28:07.762587529,45.17,1098,USA,271.02
61005,7031,Bag,1,2020-03-30 02:09:09.783261087,22.82,1065,USA,22.82
56576,7439,Pen,9,2020-03-30 13:50:11.803934645,7.06,1078,India,63.54
49353,7401,Mug,1,2020-03-31 01:31:13.824608203,54.4,1072,Canada,54.4
72003,5008,Pen,6,2020-03-31 13:12:15.845281760,69.6,1046,India,417.59999999999997
93211,3466,T-shirt,1,2020-04-01 00:53:17.865955318,13.15,1080,India,13.15
62733,3282,T-shirt,7,2020-04-01 12:34:19.886628876,48.79,1051,Germany,341.53
75318,2856,Mug,3,2020-04-02 00:15:21.907302434,75.64,1017,Germany,226.92000000000002
99474,8980,Bag,6,2020-04-02 11:56:23.927975992,98.65,1078,USA,591.9000000000001
33664,2998,Pen,7,2020-04-02 23:37:25.948649550,68.38,1017,Germany,478.65999999999997
77172,6476,Pen,1,2020-04-03 11:18:27.969323108,28.26,1023,Germany,28.26
95616,5669,Mug,1,2020-04-03 22:59:29.989996665,73.07,1022,UK,73.07
36736,5318,Mug,5,2020-04-04 10:40:32.010670223,61.8,1011,USA,309.0
10854,8064,T-shirt,6,2020-04-04 22:21:34.031343781,25.12,1022,USA,150.72
48623,8446,Notebook,9,2020-04-05 10:02:36.052017339,85.86,1020,UK,772.74
17392,2431,Mug,1,2020-04-05 21:43:38.072690897,45.6,1063,USA,45.6
65680,6624,Notebook,4,2020-04-06 09:24:40.093364455,96.39,1089,Canada,385.56
56717,8461,Mug,8,2020-04-06 21:05:42.114038012,73.68,1071,Canada,589.44
97092,2819,Bag,9,2020-04-07 08:46:44.134711570,66.23,1093,UK,596.07
60859,2130,Bag,3,2020-04-07 20:27:46.155385128,74.19,1033,Germany,222.57
36309,7563,T-shirt,2,2020-04-08 08:08:48.176058686,50.42,1001,Canada,100.84
97455,3658,T-shirt,4,2020-04-08 19:49:50.196732244,53.0,1068,UK,212.0
73734,4500,Notebook,2,2020-04-09 07:30:52.217405802,85.86,1030,Canada,171.72
80467,9566,Mug,1,2020-04-09 19:11:54.238079360,69.69,1096,India,69.69
62662,3120,Pen,3,2020-04-10 06:52:56.258752917,90.24,1067,UK,270.71999999999997
22688,5020,T-shirt,7,2020-04-10 18:33:58.279426475,89.63,1069,USA,627.41
35342,4259,Pen,1,2020-04-11 06:15:00.300100033,97.77,1086,Canada,97.77
47157,2823,Pen,2,2020-04-11 17:56:02.320773591,71.52,1018,USA,143.04
77863,2474,Mug,1,2020-04-12 05:37:04.341447149,52.72,1071,UK,52.72
62083,3242,Notebook,8,2020-04-12 17:18:06.362120707,20.8,1012,Canada,166.4
75733,4243,Mug,5,2020-04-13 04:59:08.382794265,72.01,1064,USA,360.05
99045,7990,T-shirt,8,2020-04-13 16:40:10.403467822,32.7,1005,Germany,261.6
44698,6160,Pen,3,2020-04-14 04:21:12.424141380,31.88,1070,Germany,95.64
90623,4134,Mug,7,2020-04-14 16:02:14.444814938,27.64,1026,India,193.48000000000002
32671,3070,Mug,8,2020-04-15 03:43:16.465488496,88.14,1078,UK,705.12
35184,1359,Mug,6,2020-04-15 15:24:18.486162054,87.46,1051,USA,524.76
52107,2141,T-shirt,7,2020-04-16 03:05:20.506835612,64.94,1097,India,454.58
96202,2635,Notebook,2,2020-04-16 14:46:22.527509170,49.93,1086,UK,99.86
61663,5000,Mug,8,2020-04-17 02:27:24.548182728,68.85,1047,Germany,550.8
25708,4361,T-shirt,5,2020-04-17 14:08:26.568856286,62.69,1087,USA,313.45
59811,7583,Pen,7,2020-04-18 01:49:28.589529844,44.49,1078,Canada,311.43
12811,8835,Bag,1,2020-04-18 13:30:30.610203400,41.06,1098,Germany,41.06
66250,1006,T-shirt,5,2020-04-19 01:11:32.630876958,41.37,1067,Canada,206.85
82082,4267,Bag,1,2020-04-19 12:52:34.651550516,60.97,1043,Canada,60.97
44754,7564,Mug,8,2020-04-20 00:33:36.672224074,66.53,1016,USA,532.24
21411,5928,Mug,4,2020-04-20 12:14:38.692897632,47.92,1094,USA,191.68
12911,3606,T-shirt,4,2020-04-20 23:55:40.713571190,97.03,1037,Canada,388.12
77270,6906,Bag,2,2020-04-21 11:36:42.734244748,12.97,1009,India,25.94
93763,4273,Mug,5,2020-04-21 23:17:44.754918306,37.97,1053,Canada,189.85
18680,8611,Pen,1,2020-04-22 10:58:46.775591864,44.81,1090,Canada,44.81
94896,1913,Notebook,9,2020-04-22 22:39:48.796265422,6.61,1005,USA,59.49
93879,3011,Notebook,5,2020-04-23 10:20:50.816938980,39.67,1005,UK,198.35000000000002
81295,2442,Mug,6,2020-04-23 22:01:52.837612538,31.0,1051,Germany,186.0
98614,6546,Bag,2,2020-04-24 09:42:54.858286096,53.07,1014,USA,106.14
21111,2829,Mug,1,2020-04-24 21:23:56.878959652,36.96,1067,India,36.96
47504,9767,Bag,4,2020-04-25 09:04:58.899633210,73.99,1056,Germany,295.96
11802,7468,Pen,7,2020-04-25 20:46:00.920306768,53.44,1055,USA,374.08
18155,1929,Bag,6,2020-04-26 08:27:02.940980326,17.33,1006,USA,103.97999999999999
83656,4699,Mug,1,2020-04-26 20:08:04.961653884,76.26,1050,UK,76.26
49384,2054,Pen,1,2020-04-27 07:49:06.982327442,14.43,1057,India,14.43
57254,6744,T-shirt,8,2020-04-27 19:30:09.003001000,84.71,1063,India,677.68
31918,2900,Notebook,4,2020-04-28 07:11:11.023674558,93.49,1025,USA,373.96
95981,7980,Mug,5,2020-04-28 18:52:13.044348116,35.63,1057,UK,178.15
70713,8069,Mug,7,2020-04-29 06:33:15.065021674,92.98,1030,USA,650.86
40306,4415,Mug,8,2020-04-29 18:14:17.085695232,80.34,1065,Canada,642.72
26646,1442,Pen,7,2020-04-30 05:55:19.106368790,92.63,1091,Canada,648.41
56843,7218,T-shirt,2,2020-04-30 17:36:21.127042348,68.3,1012,UK,136.6
26371,5652,Bag,4,2020-05-01 05:17:23.147715906,27.39,1017,USA,109.56
87371,8939,T-shirt,1,2020-05-01 16:58:25.168389462,89.98,1093,UK,89.98
12049,8833,Pen,9,2020-05-02 04:39:27.189063020,22.51,1074,USA,202.59
41616,8597,Mug,3,2020-05-02 16:20:29.209736578,25.24,1012,USA,75.72
30932,5458,Notebook,3,2020-05-03 04:01:31.230410136,30.75,1023,Canada,92.25
39855,7591,Mug,9,2020-05-03 15:42:33.251083694,33.9,1056,Germany,305.09999999999997
71434,3309,Bag,3,2020-05-04 03:23:35.271757252,53.88,1028,India,161.64000000000001
82694,7268,Notebook,8,2020-05-04 15:04:37.292430810,72.78,1055,India,582.24
53016,1910,Mug,2,2020-05-05 02:45:39.313104368,92.99,1053,UK,185.98
17400,5340,Notebook,3,2020-05-05 14:26:41.333777926,13.4,1004,India,40.2
52642,5009,T-shirt,2,2020-05-06 02:07:43.354451484,95.67,1034,Canada,191.34
25151,7628,Pen,1,2020-05-06 13:48:45.375125042,92.53,1018,Germany,92.53
61407,3169,Mug,2,2020-05-07 01:29:47.395798600,10.13,1054,USA,20.26
76690,3172,Bag,8,2020-05-07 13:10:49.416472158,39.23,1076,USA,313.84
14499,6668,T-shirt,9,2020-05-08 00:51:51.437145714,82.25,1068,Canada,740.25
16295,7313,Mug,2,2020-05-08 12:32:53.457819272,63.1,1043,India,126.2
69040,9315,T-shirt,7,2020-05-09 00:13:55.478492830,79.01,1077,USA,553.07
22183,9036,Bag,5,2020-05-09 11:54:57.499166388,73.31,1037,India,366.55
39299,7789,Mug,3,2020-05-09 23:35:59.519839946,52.19,1061,Canada,156.57
22874,1785,Bag,9,2020-05-10 11:17:01.540513504,8.92,1021,USA,80.28
42711,7139,Notebook,6,2020-05-10 22:58:03.561187062,60.51,1072,UK,363.06
15539,7344,Bag,1,2020-05-11 10:39:05.581860620,9.61,1039,Germany,9.61
63351,3416,Notebook,5,2020-05-11 22:20:07.602534178,62.35,1025,India,311.75
71267,9988,Mug,7,2020-05-12 10:01:09.623207736,81.04,1004,India,567.2800000000001
58354,5154,Notebook,4,2020-05-12 21:42:11.643881294,60.57,1092,India,242.28
12557,6619,Mug,8,2020-05-13 09:23:13.664554852,99.72,1053,India,797.76
48360,2936,Mug,5,2020-05-13 21:04:15.685228410,48.31,1085,Canada,241.55
92018,4807,Pen,9,2020-05-14 08:45:17.705901968,76.14,1048,Canada,685.26
12200,8151,Mug,9,2020-05-14 20:26:19.726575524,68.39,1002,Canada,615.51
78497,4236,Notebook,9,2020-05-15 08:07:21.747249082,99.19,1091,Canada,892.71
56975,3352,Pen,1,2020-05-15 19:48:23.767922640,72.76,1037,USA,72.76
31357,2932,Pen,2,2020-05-16 07:29:25.788596198,20.58,1013,Canada,41.16
87505,9556,Mug,3,2020-05-16 19:10:27.809269756,95.77,1046,USA,287.31
12869,5916,Bag,4,2020-05-17 06:51:29.829943314,68.44,1013,UK,273.76
71135,6498,Bag,9,2020-05-17 18:32:31.850616872,10.64,1074,Canada,95.76
60108,1946,Pen,6,2020-05-18 06:13:33.871290430,67.47,1072,UK,404.82
48467,2439,Mug,1,2020-05-18 17:54:35.891963988,88.9,1037,Canada,88.9
33328,8730,Bag,9,2020-05-19 05:35:37.912637546,59.82,1063,UK,538.38
96831,5857,Mug,6,2020-05-19 17:16:39.933311104,38.63,1043,Germany,231.78000000000003
13987,1340,Mug,4,2020-05-20 04:57:41.953984662,82.99,1069,UK,331.96
68871,1382,Pen,4,2020-05-20 16:38:43.974658220,79.34,1064,USA,317.36
32399,9491,Pen,3,2020-05-21 04:19:45.995331776,56.7,1024,India,170.10000000000002
56214,1138,T-shirt,7,2020-05-21 16:00:48.016005334,19.66,1015,UK,137.62
96416,1358,Bag,3,2020-05-22 03:41:50.036678892,28.84,1014,India,86.52
80271,5931,Bag,2,2020-05-22 15:22:52.057352450,75.16,1097,Germany,150.32
54064,4456,Bag,8,2020-05-23 03:03:54.078026008,81.58,1080,Germany,652.64
80091,2627,Notebook,4,2020-05-23 14:44:56.098699566,31.53,1002,USA,126.12
50818,7626,Mug,8,2020-05-24 02:25:58.119373124,39.96,1066,USA,319.68
55525,6004,Pen,1,2020-05-24 14:07:00.140046682,12.38,1036,UK,12.38
29830,7652,Bag,5,2020-05-25 01:48:02.160720240,72.78,1080,Canada,363.9
27429,7416,T-shirt,9,2020-05-25 13:29:04.181393798,5.34,1054,Germany,48.06
16893,4170,Bag,1,2020-05-26 01:10:06.202067356,9.42,1037,India,9.42
89909,4835,Mug,4,2020-05-26 12:51:08.222740914,5.41,1062,Canada,21.64
57333,9017,Mug,6,2020-05-27 00:32:10.243414472,66.31,1000,Germany,397.86
13436,3151,Pen,8,2020-05-27 12:13:12.264088030,44.65,1070,UK,357.2
84290,7905,Notebook,3,2020-05-27 23:54:14.284761586,33.27,1089,Germany,99.81
86213,3834,Pen,5,2020-05-28 11:35:16.305435144,91.71,1018,USA,458.54999999999995
15895,3567,Bag,7,2020-05-28 23:16:18.326108702,23.32,1051,India,163.24
29738,2307,T-shirt,1,2020-05-29 10:57:20.346782260,41.99,1029,India,41.99
40746,9848,Pen,7,2020-05-29 22:38:22.367455818,94.33,1054,USA,660.31
59377,3660,Notebook,8,2020-05-30 10:19:24.388129376,45.58,1013,Canada,364.64
58404,4730,Pen,8,2020-05-30 22:00:26.408802934,57.7,1012,USA,461.6
64045,7207,Mug,9,2020-05-31 09:41:28.429476492,12.63,1083,India,113.67
49790,4162,Bag,6,2020-05-31 21:22:30.450150050,80.07,1089,UK,480.41999999999996
15600,2140,Bag,6,2020-06-01 09:03:32.470823608,45.16,1026,Canada,270.96
